,reference_date,moneyness,tenor,implied_vol
16,2008-02-22,0.9,720D,0.232621
17,2008-02-22,1.0,720D,0.250579
18,2008-02-22,1.1,720D,0.246229
19,2008-02-22,1.2,720D,0.24202690000000002
0,2008-02-25,0.8,90D,0.37371810000000005
1,2008-02-25,0.9,90D,0.320978
2,2008-02-25,1.0,90D,0.293767
3,2008-02-25,1.1,90D,0.294904
4,2008-02-25,1.2,90D,0.29597
5,2008-02-25,0.8,180D,0.32928379999999996
6,2008-02-25,0.9,180D,0.27691
7,2008-02-25,1.0,180D,0.253768
8,2008-02-25,1.1,180D,0.26645399999999997
9,2008-02-25,1.2,180D,0.2602388
10,2008-02-25,0.8,360D,0.26595379999999996
11,2008-02-25,0.9,360D,0.24148499999999998
12,2008-02-25,1.0,360D,0.23524
13,2008-02-25,1.1,360D,0.258679
14,2008-02-25,1.2,360D,0.24698689999999998
15,2008-02-25,0.8,720D,0.2453213
16,2008-02-25,0.9,720D,0.22593800000000003
17,2008-02-25,1.0,720D,0.21578499999999998
18,2008-02-25,1.1,720D,0.251729
19,2008-02-25,1.2,720D,0.2418113
0,2008-02-26,0.8,90D,0.36576810000000004
1,2008-02-26,0.9,90D,0.315014
2,2008-02-26,1.0,90D,0.300066
3,2008-02-26,1.1,90D,0.285388
4,2008-02-26,1.2,90D,0.283795
5,2008-02-26,0.8,180D,0.32858
6,2008-02-26,0.9,180D,0.27741499999999997
7,2008-02-26,1.0,180D,0.281442
8,2008-02-26,1.1,180D,0.265392
9,2008-02-26,1.2,180D,0.2557688
10,2008-02-26,0.8,360D,0.2794169
11,2008-02-26,0.9,360D,0.24849900000000003
12,2008-02-26,1.0,360D,0.259778
13,2008-02-26,1.1,360D,0.25363199999999997
14,2008-02-26,1.2,360D,0.2412969
15,2008-02-26,0.8,720D,0.2619381
16,2008-02-26,0.9,720D,0.23133099999999998
17,2008-02-26,1.0,720D,0.23163
18,2008-02-26,1.1,720D,0.246858
19,2008-02-26,1.2,720D,0.24127189999999998
0,2008-02-27,0.8,90D,0.36736620000000003
1,2008-02-27,0.9,90D,0.303788
2,2008-02-27,1.0,90D,0.273125
3,2008-02-27,1.1,90D,0.289113
4,2008-02-27,1.2,90D,0.3030738
5,2008-02-27,0.8,180D,0.29746500000000003
6,2008-02-27,0.9,180D,0.258747
7,2008-02-27,1.0,180D,0.228912
8,2008-02-27,1.1,180D,0.266019
9,2008-02-27,1.2,180D,0.26463380000000003
10,2008-02-27,0.8,360D,0.27926629999999997
11,2008-02-27,0.9,360D,0.24828399999999998
12,2008-02-27,1.0,360D,0.23380900000000002
13,2008-02-27,1.1,360D,0.253689
14,2008-02-27,1.2,360D,0.24323129999999998
15,2008-02-27,0.8,720D,0.24962810000000002
16,2008-02-27,0.9,720D,0.22500299999999998
17,2008-02-27,1.0,720D,0.233894
18,2008-02-27,1.1,720D,0.247224
19,2008-02-27,1.2,720D,0.24090499999999998
0,2008-02-28,0.8,90D,0.3661819
1,2008-02-28,0.9,90D,0.30547799999999997
2,2008-02-28,1.0,90D,0.280903
3,2008-02-28,1.1,90D,0.289884
4,2008-02-28,1.2,90D,0.3043731
5,2008-02-28,0.8,180D,0.2964131
6,2008-02-28,0.9,180D,0.250675
7,2008-02-28,1.0,180D,0.24144400000000002
8,2008-02-28,1.1,180D,0.25269400000000003
9,2008-02-28,1.2,180D,0.2510369
10,2008-02-28,0.8,360D,0.2582781
11,2008-02-28,0.9,360D,0.23305800000000002
12,2008-02-28,1.0,360D,0.234019
13,2008-02-28,1.1,360D,0.255442
14,2008-02-28,1.2,360D,0.24777380000000002
15,2008-02-28,0.8,720D,0.2473469
16,2008-02-28,0.9,720D,0.226346
17,2008-02-28,1.0,720D,0.22019200000000003
18,2008-02-28,1.1,720D,0.257328
19,2008-02-28,1.2,720D,0.249115
0,2008-02-29,0.8,90D,0.3838213
1,2008-02-29,0.9,90D,0.31021899999999997
2,2008-02-29,1.0,90D,0.270118
3,2008-02-29,1.1,90D,0.279222
4,2008-02-29,1.2,90D,0.2853781
5,2008-02-29,0.8,180D,0.3409087
6,2008-02-29,0.9,180D,0.269242
7,2008-02-29,1.0,180D,0.22719699999999998
8,2008-02-29,1.1,180D,0.25363
9,2008-02-29,1.2,180D,0.2502338
10,2008-02-29,0.8,360D,0.2845331
11,2008-02-29,0.9,360D,0.248674
12,2008-02-29,1.0,360D,0.226493
13,2008-02-29,1.1,360D,0.254361
14,2008-02-29,1.2,360D,0.2424781
15,2008-02-29,0.8,720D,0.2639169
16,2008-02-29,0.9,720D,0.23586500000000002
17,2008-02-29,1.0,720D,0.215492
18,2008-02-29,1.1,720D,0.258976
19,2008-02-29,1.2,720D,0.2478781
0,2008-03-03,0.8,90D,0.4017769
1,2008-03-03,0.9,90D,0.31784
2,2008-03-03,1.0,90D,0.26033100000000003
3,2008-03-03,1.1,90D,0.275874
4,2008-03-03,1.2,90D,0.28083379999999997
5,2008-03-03,0.8,180D,0.3324031
6,2008-03-03,0.9,180D,0.270362
7,2008-03-03,1.0,180D,0.218011
8,2008-03-03,1.1,180D,0.261144
9,2008-03-03,1.2,180D,0.2588381
10,2008-03-03,0.8,360D,0.2890419
11,2008-03-03,0.9,360D,0.250963
12,2008-03-03,1.0,360D,0.21691500000000002
13,2008-03-03,1.1,360D,0.253999
14,2008-03-03,1.2,360D,0.24483
15,2008-03-03,0.8,720D,0.26402380000000003
16,2008-03-03,0.9,720D,0.24025400000000002
17,2008-03-03,1.0,720D,0.215778
18,2008-03-03,1.1,720D,0.261251
19,2008-03-03,1.2,720D,0.2525169
0,2008-03-04,0.8,90D,0.3869769
1,2008-03-04,0.9,90D,0.321661
2,2008-03-04,1.0,90D,0.29128699999999996
3,2008-03-04,1.1,90D,0.281066
4,2008-03-04,1.2,90D,0.2689263
5,2008-03-04,0.8,180D,0.3102719
6,2008-03-04,0.9,180D,0.25773599999999997
7,2008-03-04,1.0,180D,0.25197800000000004
8,2008-03-04,1.1,180D,0.260534
9,2008-03-04,1.2,180D,0.2610031
10,2008-03-04,0.8,360D,0.26533629999999997
11,2008-03-04,0.9,360D,0.23799099999999998
12,2008-03-04,1.0,360D,0.2501
13,2008-03-04,1.1,360D,0.255191
14,2008-03-04,1.2,360D,0.2463569
15,2008-03-04,0.8,720D,0.2618619
16,2008-03-04,0.9,720D,0.235625
17,2008-03-04,1.0,720D,0.252118
18,2008-03-04,1.1,720D,0.254683
19,2008-03-04,1.2,720D,0.2482988
0,2008-03-05,0.8,90D,0.40290190000000004
1,2008-03-05,0.9,90D,0.318697
2,2008-03-05,1.0,90D,0.296386
3,2008-03-05,1.1,90D,0.274779
4,2008-03-05,1.2,90D,0.2738838
5,2008-03-05,0.8,180D,0.3405669
6,2008-03-05,0.9,180D,0.277899
7,2008-03-05,1.0,180D,0.281021
8,2008-03-05,1.1,180D,0.263232
9,2008-03-05,1.2,180D,0.25503129999999996
10,2008-03-05,0.8,360D,0.29405380000000003
11,2008-03-05,0.9,360D,0.257291
12,2008-03-05,1.0,360D,0.27355599999999997
13,2008-03-05,1.1,360D,0.259031
14,2008-03-05,1.2,360D,0.2483119
15,2008-03-05,0.8,720D,0.2646888
16,2008-03-05,0.9,720D,0.238654
17,2008-03-05,1.0,720D,0.257737
18,2008-03-05,1.1,720D,0.251496
19,2008-03-05,1.2,720D,0.246605
0,2008-03-06,0.8,90D,0.35987630000000004
1,2008-03-06,0.9,90D,0.297575
2,2008-03-06,1.0,90D,0.263729
3,2008-03-06,1.1,90D,0.272865
4,2008-03-06,1.2,90D,0.26753129999999997
5,2008-03-06,0.8,180D,0.31196
6,2008-03-06,0.9,180D,0.254098
7,2008-03-06,1.0,180D,0.23697700000000002
8,2008-03-06,1.1,180D,0.264269
9,2008-03-06,1.2,180D,0.26442
10,2008-03-06,0.8,360D,0.2692931
11,2008-03-06,0.9,360D,0.234247
12,2008-03-06,1.0,360D,0.241203
13,2008-03-06,1.1,360D,0.25968
14,2008-03-06,1.2,360D,0.2516831
15,2008-03-06,0.8,720D,0.24337129999999998
16,2008-03-06,0.9,720D,0.21776199999999998
17,2008-03-06,1.0,720D,0.241292
18,2008-03-06,1.1,720D,0.2535
19,2008-03-06,1.2,720D,0.2470938
0,2008-03-07,0.8,90D,0.36578629999999995
1,2008-03-07,0.9,90D,0.301099
2,2008-03-07,1.0,90D,0.259226
3,2008-03-07,1.1,90D,0.289511
4,2008-03-07,1.2,90D,0.29578309999999997
5,2008-03-07,0.8,180D,0.2895481
6,2008-03-07,0.9,180D,0.25206
7,2008-03-07,1.0,180D,0.23616399999999999
8,2008-03-07,1.1,180D,0.293603
9,2008-03-07,1.2,180D,0.3064363
10,2008-03-07,0.8,360D,0.2800469
11,2008-03-07,0.9,360D,0.24561
12,2008-03-07,1.0,360D,0.242441
13,2008-03-07,1.1,360D,0.270914
14,2008-03-07,1.2,360D,0.26373
15,2008-03-07,0.8,720D,0.2323581
16,2008-03-07,0.9,720D,0.215447
17,2008-03-07,1.0,720D,0.237166
18,2008-03-07,1.1,720D,0.260387
19,2008-03-07,1.2,720D,0.2542181
0,2008-03-10,0.8,90D,0.3573188
1,2008-03-10,0.9,90D,0.29037
2,2008-03-10,1.0,90D,0.22932
3,2008-03-10,1.1,90D,0.27924299999999996
4,2008-03-10,1.2,90D,0.2797181
5,2008-03-10,0.8,180D,0.2995388
6,2008-03-10,0.9,180D,0.254939
7,2008-03-10,1.0,180D,0.209176
8,2008-03-10,1.1,180D,0.274088
9,2008-03-10,1.2,180D,0.27
10,2008-03-10,0.8,360D,0.27292690000000003
11,2008-03-10,0.9,360D,0.239331
12,2008-03-10,1.0,360D,0.22484200000000001
13,2008-03-10,1.1,360D,0.265746
14,2008-03-10,1.2,360D,0.2574269
15,2008-03-10,0.8,720D,0.2283631
16,2008-03-10,0.9,720D,0.213073
17,2008-03-10,1.0,720D,0.230059
18,2008-03-10,1.1,720D,0.262527
19,2008-03-10,1.2,720D,0.2517969
0,2008-03-11,0.8,90D,0.34879
1,2008-03-11,0.9,90D,0.283884
2,2008-03-11,1.0,90D,0.289901
3,2008-03-11,1.1,90D,0.282005
4,2008-03-11,1.2,90D,0.2885413
5,2008-03-11,0.8,180D,0.29317689999999996
6,2008-03-11,0.9,180D,0.250697
7,2008-03-11,1.0,180D,0.28118200000000004
8,2008-03-11,1.1,180D,0.280913
9,2008-03-11,1.2,180D,0.28371379999999996
10,2008-03-11,0.8,360D,0.27196190000000003
11,2008-03-11,0.9,360D,0.239836
12,2008-03-11,1.0,360D,0.270894
13,2008-03-11,1.1,360D,0.261492
14,2008-03-11,1.2,360D,0.2538181
15,2008-03-11,0.8,720D,0.23404879999999997
16,2008-03-11,0.9,720D,0.21599900000000002
17,2008-03-11,1.0,720D,0.256761
18,2008-03-11,1.1,720D,0.253662
19,2008-03-11,1.2,720D,0.25175000000000003
0,2008-03-12,0.8,90D,0.327795
1,2008-03-12,0.9,90D,0.277052
2,2008-03-12,1.0,90D,0.24436699999999997
3,2008-03-12,1.1,90D,0.282228
4,2008-03-12,1.2,90D,0.2867013
5,2008-03-12,0.8,180D,0.3109031
6,2008-03-12,0.9,180D,0.260264
7,2008-03-12,1.0,180D,0.23935800000000002
8,2008-03-12,1.1,180D,0.278398
9,2008-03-12,1.2,180D,0.2803219
10,2008-03-12,0.8,360D,0.27466999999999997
11,2008-03-12,0.9,360D,0.23834
12,2008-03-12,1.0,360D,0.222627
13,2008-03-12,1.1,360D,0.26037299999999997
14,2008-03-12,1.2,360D,0.2482931
15,2008-03-12,0.8,720D,0.237205
16,2008-03-12,0.9,720D,0.218876
17,2008-03-12,1.0,720D,0.20734200000000003
18,2008-03-12,1.1,720D,0.260491
19,2008-03-12,1.2,720D,0.2500131
0,2008-03-13,0.8,90D,0.3595763
1,2008-03-13,0.9,90D,0.306137
2,2008-03-13,1.0,90D,0.251712
3,2008-03-13,1.1,90D,0.303277
4,2008-03-13,1.2,90D,0.2986813
5,2008-03-13,0.8,180D,0.30656
6,2008-03-13,0.9,180D,0.27356
7,2008-03-13,1.0,180D,0.23959499999999997
8,2008-03-13,1.1,180D,0.30234300000000003
9,2008-03-13,1.2,180D,0.3006531
10,2008-03-13,0.8,360D,0.29184
11,2008-03-13,0.9,360D,0.25978100000000004
12,2008-03-13,1.0,360D,0.230781
13,2008-03-13,1.1,360D,0.282503
14,2008-03-13,1.2,360D,0.2713913
15,2008-03-13,0.8,720D,0.2493769
16,2008-03-13,0.9,720D,0.23296
17,2008-03-13,1.0,720D,0.214103
18,2008-03-13,1.1,720D,0.273719
19,2008-03-13,1.2,720D,0.26578630000000003
0,2008-03-14,0.8,90D,0.37481000000000003
1,2008-03-14,0.9,90D,0.310796
2,2008-03-14,1.0,90D,0.259271
3,2008-03-14,1.1,90D,0.31297200000000003
4,2008-03-14,1.2,90D,0.3203788
5,2008-03-14,0.8,180D,0.3053319
6,2008-03-14,0.9,180D,0.267815
7,2008-03-14,1.0,180D,0.237
8,2008-03-14,1.1,180D,0.298025
9,2008-03-14,1.2,180D,0.301545
10,2008-03-14,0.8,360D,0.2794913
11,2008-03-14,0.9,360D,0.24722100000000002
12,2008-03-14,1.0,360D,0.22154
13,2008-03-14,1.1,360D,0.27316
14,2008-03-14,1.2,360D,0.26248
15,2008-03-14,0.8,720D,0.2390888
16,2008-03-14,0.9,720D,0.21970800000000001
17,2008-03-14,1.0,720D,0.200329
18,2008-03-14,1.1,720D,0.266332
19,2008-03-14,1.2,720D,0.2551481
0,2008-03-17,0.8,90D,0.38831000000000004
1,2008-03-17,0.9,90D,0.32378999999999997
2,2008-03-17,1.0,90D,0.297752
3,2008-03-17,1.1,90D,0.327295
4,2008-03-17,1.2,90D,0.3287681
5,2008-03-17,0.8,180D,0.3134869
6,2008-03-17,0.9,180D,0.276138
7,2008-03-17,1.0,180D,0.274217
8,2008-03-17,1.1,180D,0.306294
9,2008-03-17,1.2,180D,0.30622499999999997
10,2008-03-17,0.8,360D,0.284165
11,2008-03-17,0.9,360D,0.258644
12,2008-03-17,1.0,360D,0.275764
13,2008-03-17,1.1,360D,0.298435
14,2008-03-17,1.2,360D,0.290215
15,2008-03-17,0.8,720D,0.2650413
16,2008-03-17,0.9,720D,0.24456
17,2008-03-17,1.0,720D,0.275957
18,2008-03-17,1.1,720D,0.291124
19,2008-03-17,1.2,720D,0.2847213
0,2008-03-18,0.8,90D,0.34712499999999996
1,2008-03-18,0.9,90D,0.303651
2,2008-03-18,1.0,90D,0.257853
3,2008-03-18,1.1,90D,0.31287400000000004
4,2008-03-18,1.2,90D,0.30598
5,2008-03-18,0.8,180D,0.300645
6,2008-03-18,0.9,180D,0.270823
7,2008-03-18,1.0,180D,0.243916
8,2008-03-18,1.1,180D,0.29955200000000004
9,2008-03-18,1.2,180D,0.2941881
10,2008-03-18,0.8,360D,0.2856219
11,2008-03-18,0.9,360D,0.251386
12,2008-03-18,1.0,360D,0.22506299999999999
13,2008-03-18,1.1,360D,0.275798
14,2008-03-18,1.2,360D,0.26334630000000003
15,2008-03-18,0.8,720D,0.25871130000000003
16,2008-03-18,0.9,720D,0.234049
17,2008-03-18,1.0,720D,0.21125800000000003
18,2008-03-18,1.1,720D,0.274302
19,2008-03-18,1.2,720D,0.2609838
0,2008-03-19,0.8,90D,0.47116810000000003
1,2008-03-19,0.9,90D,0.336408
2,2008-03-19,1.0,90D,0.270412
3,2008-03-19,1.1,90D,0.317465
4,2008-03-19,1.2,90D,0.35626620000000003
5,2008-03-19,0.8,180D,0.34209690000000004
6,2008-03-19,0.9,180D,0.300066
7,2008-03-19,1.0,180D,0.278579
8,2008-03-19,1.1,180D,0.310959
9,2008-03-19,1.2,180D,0.3086
10,2008-03-19,0.8,360D,0.3145963
11,2008-03-19,0.9,360D,0.277549
12,2008-03-19,1.0,360D,0.267964
13,2008-03-19,1.1,360D,0.285456
14,2008-03-19,1.2,360D,0.2727788
15,2008-03-19,0.8,720D,0.2848463
16,2008-03-19,0.9,720D,0.257776
17,2008-03-19,1.0,720D,0.26786899999999997
18,2008-03-19,1.1,720D,0.281436
19,2008-03-19,1.2,720D,0.270755
0,2008-03-20,0.8,90D,0.42127879999999995
1,2008-03-20,0.9,90D,0.36700699999999997
2,2008-03-20,1.0,90D,0.35560499999999995
3,2008-03-20,1.1,90D,0.349354
4,2008-03-20,1.2,90D,0.3459763
5,2008-03-20,0.8,180D,0.32787190000000005
6,2008-03-20,0.9,180D,0.314832
7,2008-03-20,1.0,180D,0.33086799999999994
8,2008-03-20,1.1,180D,0.336331
9,2008-03-20,1.2,180D,0.32928690000000005
10,2008-03-20,0.8,360D,0.32249
11,2008-03-20,0.9,360D,0.295161
12,2008-03-20,1.0,360D,0.301694
13,2008-03-20,1.1,360D,0.29488600000000004
14,2008-03-20,1.2,360D,0.28462
15,2008-03-20,0.8,720D,0.3005238
16,2008-03-20,0.9,720D,0.27978400000000003
17,2008-03-20,1.0,720D,0.289405
18,2008-03-20,1.1,720D,0.286655
19,2008-03-20,1.2,720D,0.2813663
0,2008-03-25,0.8,90D,0.3862838
1,2008-03-25,0.9,90D,0.328359
2,2008-03-25,1.0,90D,0.30585999999999997
3,2008-03-25,1.1,90D,0.313995
4,2008-03-25,1.2,90D,0.31827
5,2008-03-25,0.8,180D,0.3306731
6,2008-03-25,0.9,180D,0.295753
7,2008-03-25,1.0,180D,0.291437
8,2008-03-25,1.1,180D,0.300807
9,2008-03-25,1.2,180D,0.2952838
10,2008-03-25,0.8,360D,0.32862
11,2008-03-25,0.9,360D,0.29510200000000003
12,2008-03-25,1.0,360D,0.293503
13,2008-03-25,1.1,360D,0.30139099999999996
14,2008-03-25,1.2,360D,0.2974731
15,2008-03-25,0.8,720D,0.2880219
16,2008-03-25,0.9,720D,0.265692
17,2008-03-25,1.0,720D,0.256235
18,2008-03-25,1.1,720D,0.276583
19,2008-03-25,1.2,720D,0.2716931
0,2008-03-26,0.8,90D,0.4095469
1,2008-03-26,0.9,90D,0.331039
2,2008-03-26,1.0,90D,0.28044399999999997
3,2008-03-26,1.1,90D,0.306954
4,2008-03-26,1.2,90D,0.3154
5,2008-03-26,0.8,180D,0.34614690000000004
6,2008-03-26,0.9,180D,0.306484
7,2008-03-26,1.0,180D,0.280082
8,2008-03-26,1.1,180D,0.301397
9,2008-03-26,1.2,180D,0.29507
10,2008-03-26,0.8,360D,0.3115831
11,2008-03-26,0.9,360D,0.279856
12,2008-03-26,1.0,360D,0.260534
13,2008-03-26,1.1,360D,0.285146
14,2008-03-26,1.2,360D,0.27700189999999997
15,2008-03-26,0.8,720D,0.2686113
16,2008-03-26,0.9,720D,0.252234
17,2008-03-26,1.0,720D,0.238037
18,2008-03-26,1.1,720D,0.268084
19,2008-03-26,1.2,720D,0.26320689999999997
0,2008-03-27,0.8,90D,0.36601
1,2008-03-27,0.9,90D,0.312098
2,2008-03-27,1.0,90D,0.28904399999999997
3,2008-03-27,1.1,90D,0.301612
4,2008-03-27,1.2,90D,0.3070263
5,2008-03-27,0.8,180D,0.33787
6,2008-03-27,0.9,180D,0.300427
7,2008-03-27,1.0,180D,0.293182
8,2008-03-27,1.1,180D,0.299704
9,2008-03-27,1.2,180D,0.2921019
10,2008-03-27,0.8,360D,0.315075
11,2008-03-27,0.9,360D,0.273845
12,2008-03-27,1.0,360D,0.26861999999999997
13,2008-03-27,1.1,360D,0.280777
14,2008-03-27,1.2,360D,0.2817713
15,2008-03-27,0.8,720D,0.2640988
16,2008-03-27,0.9,720D,0.24535099999999999
17,2008-03-27,1.0,720D,0.236567
18,2008-03-27,1.1,720D,0.26477900000000004
19,2008-03-27,1.2,720D,0.25950690000000004
0,2008-03-28,0.8,90D,0.3785631
1,2008-03-28,0.9,90D,0.307151
2,2008-03-28,1.0,90D,0.280175
3,2008-03-28,1.1,90D,0.300877
4,2008-03-28,1.2,90D,0.3133613
5,2008-03-28,0.8,180D,0.3465781
6,2008-03-28,0.9,180D,0.297581
7,2008-03-28,1.0,180D,0.288723
8,2008-03-28,1.1,180D,0.302241
9,2008-03-28,1.2,180D,0.2963619
10,2008-03-28,0.8,360D,0.3023531
11,2008-03-28,0.9,360D,0.271886
12,2008-03-28,1.0,360D,0.27194199999999996
13,2008-03-28,1.1,360D,0.278128
14,2008-03-28,1.2,360D,0.2635981
15,2008-03-28,0.8,720D,0.266795
16,2008-03-28,0.9,720D,0.245352
17,2008-03-28,1.0,720D,0.233147
18,2008-03-28,1.1,720D,0.250418
19,2008-03-28,1.2,720D,0.2394838
0,2008-03-31,0.8,90D,0.34995620000000005
1,2008-03-31,0.9,90D,0.296355
2,2008-03-31,1.0,90D,0.266795
3,2008-03-31,1.1,90D,0.282474
4,2008-03-31,1.2,90D,0.2836269
5,2008-03-31,0.8,180D,0.3441863
6,2008-03-31,0.9,180D,0.30740300000000004
7,2008-03-31,1.0,180D,0.292194
8,2008-03-31,1.1,180D,0.29974799999999996
9,2008-03-31,1.2,180D,0.2945581
10,2008-03-31,0.8,360D,0.3022169
11,2008-03-31,0.9,360D,0.274006
12,2008-03-31,1.0,360D,0.261626
13,2008-03-31,1.1,360D,0.27192
14,2008-03-31,1.2,360D,0.2629869
15,2008-03-31,0.8,720D,0.2621138
16,2008-03-31,0.9,720D,0.250735
17,2008-03-31,1.0,720D,0.240754
18,2008-03-31,1.1,720D,0.24771200000000002
19,2008-03-31,1.2,720D,0.24411629999999998
0,2008-04-01,0.8,90D,0.3389969
1,2008-04-01,0.9,90D,0.285791
2,2008-04-01,1.0,90D,0.254737
3,2008-04-01,1.1,90D,0.275111
4,2008-04-01,1.2,90D,0.2785613
5,2008-04-01,0.8,180D,0.3308913
6,2008-04-01,0.9,180D,0.290704
7,2008-04-01,1.0,180D,0.268241
8,2008-04-01,1.1,180D,0.280794
9,2008-04-01,1.2,180D,0.27724129999999997
10,2008-04-01,0.8,360D,0.28689
11,2008-04-01,0.9,360D,0.261151
12,2008-04-01,1.0,360D,0.246554
13,2008-04-01,1.1,360D,0.256743
14,2008-04-01,1.2,360D,0.24537379999999998
15,2008-04-01,0.8,720D,0.26017
16,2008-04-01,0.9,720D,0.248252
17,2008-04-01,1.0,720D,0.24462
18,2008-04-01,1.1,720D,0.24608
19,2008-04-01,1.2,720D,0.24436129999999998
0,2008-04-02,0.8,90D,0.3255919
1,2008-04-02,0.9,90D,0.271432
2,2008-04-02,1.0,90D,0.261727
3,2008-04-02,1.1,90D,0.252032
4,2008-04-02,1.2,90D,0.25461310000000004
5,2008-04-02,0.8,180D,0.2979663
6,2008-04-02,0.9,180D,0.27006
7,2008-04-02,1.0,180D,0.268332
